#Total run time time (sec) , 94.2145709991
#%,name,count,total time spend (sec)
  0,import,1,0.0
  0,init,1,0.000179052352905
  0,generate data,1,0.0319979190826
  0,intersection_matrix,1,0.0547349452972
  5,prob_method,1,4.45909404755
  0,    joint_probability_matrix  _pmat_neighbors init ,1,0.000494003295898
  0,    joint_probability_matrix  _pmat_neighbors flatten ,196,0.0526876449585
  0,    joint_probability_matrix  _pmat_neighbors sort ,196,0.00736117362976
  0,    joint_probability_matrix  _pmat_neighbors step ,196,0.000733137130737
  0,  joint_probability_matrix  _pmat_neighbors,1,1.90734863281e-06
  0,joint_probability_matrix _jsf_uniform_orderstat_3d init,1,0.0107610225677
 23,joint_probability_matrix _jsf_uniform_orderstat_3d diff,1395360,21.813457489
 14,joint_probability_matrix  _jsf_uniform_orderstat_3d reshape,31878,13.445376873
 12,joint_probability_matrix  _jsf_uniform_orderstat_3d sum,31878,11.4105861187
 11,joint_probability_matrix  _jsf_uniform_orderstat_3d log_DU2,31878,9.98660206795
  7,joint_probability_matrix  _jsf_uniform_orderstat_3d prod_DU2,31878,6.44738602638
  6,joint_probability_matrix  _jsf_uniform_orderstat_3d sum_DU2,31878,5.71627855301
  1,joint_probability_matrix  _jsf_uniform_orderstat_3d log,31878,0.937006235123
 13,joint_probability_matrix  _jsf_uniform_orderstat_3d exp,31878,11.9219949245
  8,joint_probability_matrix  _jsf_uniform_orderstat_3d step,1395360,7.91454172134
  0,  joint_probability_matrix  _jsf_uniform_orderstat_3d,1,1.09672546387e-05
  0,joint_probability_matrix,1,0.00106310844421
  0,mask_matrices,1,0.00028395652771
  0,cluster_matrix_entries,1,7.10487365723e-05
  0,extract_sse,1,3.91006469727e-05
  0,end,1,0.00182795524597
